Race, Distance, Date, 5k, Marathon, Datafile
Wilmslow Summer 10k,10 km,13/07/2025,0,0,races/wilmslow_summer_10k_results.csv
Wizard 5,7.63 km,29/07/2025,0,0,races/wizard_5_results.csv
Monton 5,5 mi,25/08/2025,0,0,races/monton_5_results.csv
Altrincham 10k,10 km,07/09/2025,0,0,races/altrincham_10k_results.csv
Manchester Half Marathon, 21.0975 km,12/10/2025,0,0,races/manchester_half_results.csv
Dunham Massey 5k June,5 km,05/06/2025,1,0,races/dunham_massey_5k_june_results.csv
Sale sizzler 1,5 km,19/06/2025,1,0,races/sale_sizzler1_results.csv
Sale sizzler 2,5 km,04/07/2025,1,0,races/sale_sizzler2_results.csv
Sale sizzler 3,5 km,18/07/2025,1,0,races/sale_sizzler3_results.csv
Sale sizzler 4,5 km,31/07/2025,1,0,races/sale_sizzler4_results.csv
Ellesmere port 5k,5 km,13/08/2025,1,0,races/ellesmere_port_5k_results.csv
Mid-Cheshire Summer 5k,5 km,29/08/2025,1,0,races/mid_cheshire_aug_results.csv
Tameside September 5k,5 km,05/09/2025,1,0,races/tameside_september_5k_results.csv
Chester Marathon,42.195 km,05/10/2025,0,1,races/chester_marathon_results.csv
