Michael Whitham, 33:36
Jack Burbidge, 34:51
Phil Raffo, 34:59
Jacob Watson, 35:05
Ryan Teare, 35:07
Kieran McGlade, 36:23
Richard Johnson, 36:30
Becky Hansen, 36:37
James Pattison, 36:48
Matthew Beacock, 39:20
Dominic Renshaw, 39:47
Gordon Nicoll, 41:24
Rick Evans, 41:24
Stephane Laffly, 41:49
Mark Newton, 43:30
John Noblett, 43:39
Peter Waterson, 44:55
Andrew Paton-crockett, 45:06
Duncan Dickinson, 45:44
Richard Hill, 45:44
Andrew Pickford, 45:46
John Roche, 48:34
Damian Utton, 48:47
Hannah Daniel, 51:26
Nadia Erdenesuren, 52:33
Frazer Cowgill, 53:06
Kate Joseph, 53:49
Sam Higgs, 56:12
Annabel Dickinson, 56:24
Colin Davies, 59:01
