Phil Raffo, 00:16:45
Andrew Pickford, 00:17:04
Becky Hansen, 00:17:26
Nick Bugler, 00:17:39
Fraser Prest, 00:18:13
Matthew Allen, 00:18:37
Richard Evans, 00:18:43
Sarah King, 00:19:01
Matthew Perkins, 00:19:11
Max Hill, 00:19:53
Peter Waterson, 00:20:05
Paul Sadler-Bentley, 00:19:59
David Ainsworth, 00:20:33
Peter Leech, 00:20:32
John Noblett, 00:21:19
Kate Stuart, 00:21:52
Mark Brett, 00:22:21
Duncan Dickinson, 00:22:37
Rich Hill, 00:22:37
Damian Utton, 00:24:14
Annabel Dickinson, 00:25:16
Mike Duncombe, 00:26:58
